COMMIT_URL,HTML_COMMIT_URL
https://api.github.com/repos/0xjac/ERC777/commits/d800b39446e34adbb0b429b1d7c8ffba71f18b7b,https://github.com/0xjac/ERC777/commit/d800b39446e34adbb0b429b1d7c8ffba71f18b7b
https://api.github.com/repos/5to6/5to6-codemod/commits/03a26108cb1de6d0cdda12291cf6e9ebbfc1e0b4,https://github.com/5to6/5to6-codemod/commit/03a26108cb1de6d0cdda12291cf6e9ebbfc1e0b4
https://api.github.com/repos/accessibilitysupported/a11ysupport.io/commits/720dcad8526486c9804667e33c8ed7b2eba98bdb,https://github.com/accessibilitysupported/a11ysupport.io/commit/720dcad8526486c9804667e33c8ed7b2eba98bdb
https://api.github.com/repos/AlecAivazis/redux-responsive/commits/8caaa7e02d3fc44a893f8ec58249d31cd5215c0a,https://github.com/AlecAivazis/redux-responsive/commit/8caaa7e02d3fc44a893f8ec58249d31cd5215c0a
https://api.github.com/repos/all-contributors/all-contributors-cli/commits/190813c61e98cf5c91a09c77501840c2be2ab712,https://github.com/all-contributors/all-contributors-cli/commit/190813c61e98cf5c91a09c77501840c2be2ab712
https://api.github.com/repos/amino/amino/commits/f5312c00161305129b693ae3f8187fb4a354add4,https://github.com/amino/amino/commit/f5312c00161305129b693ae3f8187fb4a354add4
https://api.github.com/repos/anshooarora/extentx/commits/e0c999dcaca89d7a4a7c184a7e78bcedbf793950,https://github.com/anshooarora/extentx/commit/e0c999dcaca89d7a4a7c184a7e78bcedbf793950
https://api.github.com/repos/anthonynosek/sprint-reader-chrome/commits/ba1f3aef607a150889b2f9572c63fea75fceb27b,https://github.com/anthonynosek/sprint-reader-chrome/commit/ba1f3aef607a150889b2f9572c63fea75fceb27b
https://api.github.com/repos/apache/cordova-node-xcode/commits/0e0386ad7ddd90acfafd6b8d391f3943dc687ede,https://github.com/apache/cordova-node-xcode/commit/0e0386ad7ddd90acfafd6b8d391f3943dc687ede
https://api.github.com/repos/apache/cordova-plugin-whitelist/commits/e4f17b09ed71586a94f3f0e9103b8d24d0be741a,https://github.com/apache/cordova-plugin-whitelist/commit/e4f17b09ed71586a94f3f0e9103b8d24d0be741a
https://api.github.com/repos/apigee-127/swagger-test-templates/commits/232a50eb7edc00c33c73f59e64eb1b7bb829cf3f,https://github.com/apigee-127/swagger-test-templates/commit/232a50eb7edc00c33c73f59e64eb1b7bb829cf3f
https://api.github.com/repos/apigee-127/swagger-test-templates/commits/dc6036d946ae4a231e47c09cb4d6f193458f5531,https://github.com/apigee-127/swagger-test-templates/commit/dc6036d946ae4a231e47c09cb4d6f193458f5531
https://api.github.com/repos/arboleya/coffee-toaster/commits/09f422cdaf27798544aff4543b50b6095bc44542,https://github.com/arboleya/coffee-toaster/commit/09f422cdaf27798544aff4543b50b6095bc44542
https://api.github.com/repos/atom/etch/commits/010c47e6d84c4ffe0673a04e80f62a41a0328676,https://github.com/atom/etch/commit/010c47e6d84c4ffe0673a04e80f62a41a0328676
https://api.github.com/repos/atom/git-utils/commits/c15904da1de721c296187f299647d05335da5ed0,https://github.com/atom/git-utils/commit/c15904da1de721c296187f299647d05335da5ed0
https://api.github.com/repos/atom/snippets/commits/5293428e656173eb71f63fa54fe599bf7bc75517,https://github.com/atom/snippets/commit/5293428e656173eb71f63fa54fe599bf7bc75517
https://api.github.com/repos/atom/sort-lines/commits/793626e40799fae1a347cf8aa7b640478c31c5f0,https://github.com/atom/sort-lines/commit/793626e40799fae1a347cf8aa7b640478c31c5f0
https://api.github.com/repos/ausi/cq-prolyfill/commits/dbcc062a14e51ccd7837b5e795647741d3184c9b,https://github.com/ausi/cq-prolyfill/commit/dbcc062a14e51ccd7837b5e795647741d3184c9b
https://api.github.com/repos/autoNumeric/autoNumeric/commits/a87dd7ae2f7fe150c1ab2427d9b0bcc462b789ca,https://github.com/autoNumeric/autoNumeric/commit/a87dd7ae2f7fe150c1ab2427d9b0bcc462b789ca
https://api.github.com/repos/balderdashy/sails.io.js/commits/5c974b6b703562584a2780cb78a5d8aa96f98011,https://github.com/balderdashy/sails.io.js/commit/5c974b6b703562584a2780cb78a5d8aa96f98011
https://api.github.com/repos/balderdashy/waterline/commits/969ec2b5184933fa69d9a5376b01cba9e8da22f3,https://github.com/balderdashy/waterline/commit/969ec2b5184933fa69d9a5376b01cba9e8da22f3
https://api.github.com/repos/balderdashy/waterline/commits/cfc141b34902434bc79f27a14cc86ba5b04e0a01,https://github.com/balderdashy/waterline/commit/cfc141b34902434bc79f27a14cc86ba5b04e0a01
https://api.github.com/repos/balderdashy/waterline/commits/dc47820e171745e80fe0f154af2104fdd1d632b5,https://github.com/balderdashy/waterline/commit/dc47820e171745e80fe0f154af2104fdd1d632b5
https://api.github.com/repos/bbc/peaks.js/commits/f829b6e72eb07cc9e1e5214f9bf5fae617c33557,https://github.com/bbc/peaks.js/commit/f829b6e72eb07cc9e1e5214f9bf5fae617c33557
https://api.github.com/repos/benface/tailwindcss-filters/commits/b9a419553011652d95c6734bf8d05f03c8cb9483,https://github.com/benface/tailwindcss-filters/commit/b9a419553011652d95c6734bf8d05f03c8cb9483
https://api.github.com/repos/benjamn/reify/commits/adfc8d761838d961a9abc0be4f6d178a3be71ca2,https://github.com/benjamn/reify/commit/adfc8d761838d961a9abc0be4f6d178a3be71ca2
https://api.github.com/repos/bespokejs/bespoke/commits/ea420418bf3f9ac00e2a1578c0f4c8622781ab4b,https://github.com/bespokejs/bespoke/commit/ea420418bf3f9ac00e2a1578c0f4c8622781ab4b
